county,total_expenditures,abortion_rs_count_total,abortion_rs_count_total_suppressed,daycare_slots_child_facility_capacity,daycare_slots_child_total_pop,daycare_slots_child_rate_slots,daycare_slots_child_num_facility,daycare_slots_child_pct_nonwhite,daycare_slots_infant_facility_capacity,daycare_slots_infant_total_pop,daycare_slots_infant_rate_slots,daycare_slots_infant_num_facility,daycare_slots_infant_pct_nonwhite,graduation_2019_cohort_size,dropout_rate_2019_cohort,ecigs_sold_pct_tobacco_stores_2016,ecigs_sold_pct_tobacco_stores_2013,povr_whole_white_estimate,povr_whole_cont_native_estimate,povr_whole_asian_estimate,povr_whole_black_estimate,povr_whole_latine_estimate,povr_whole_island_native_estimate,povr_whole_multiracial_estimate,povr_whole_other_race_estimate,povr_whole_total_estimate,povr_kids_asian_estimate,povr_kids_cont_native_estimate,povr_kids_black_estimate,povr_kids_latine_estimate,povr_kids_island_native_estimate,povr_kids_white_estimate,povr_kids_multiracial_estimate,povr_kids_other_race_estimate,povr_kids_total_estimate,sui_rate_2012_2014,sui_age_adjusted_rate_2012_2014,sui_rate_2015_2017,sui_age_adjusted_rate_2015_2017,unemployment_rate,labor_force_size,sui_rate_avg,sui_adjusted_rate_avg
Orange,"$1,058,066.55 ",6842.0,0.0,51563.0,157120.0,328.175916496945,761.0,71.04951629327903,3818.0,113361.0,33.68001340849146,165.0,72.3441042333783,40929,5.1,0.69,0.57,16.7444320115268,38.4382470119522,26.5740901802675,30.9626651841081,47.9944315421524,43.679727427598,21.4360890385729,30.3252677508925,29.7343072218516,26.3561963811863,29.4830371567044,37.0694368507381,57.2236101425095,58.2743077913715,15.2566181940844,19.0513722730471,26.8379096545616,37.4201598535946,10.24,9.854,9.681,9.145,4.516666666666667,1584300.0,9.9605,9.4995
Placer,"$134,154.44 ",789.0,0.0,5147.0,17627.0,291.9952345833096,99.0,35.61014352981221,689.0,12064.0,57.11206896551724,29.0,36.8120026525199,5947,6.3,0.88,0.55,18.8052278681488,24.9813571961223,16.7217780754259,28.2251437962202,40.5772182990482,,22.4721724916323,,21.9079471165634,14.8405698778833,25.414364640884,27.0793036750484,45.7578303132125,100.0,19.7201502695051,19.4143342501213,100.0,24.6170112781955,12.08,10.77,12.86,11.78,5.1000000000000005,176333.33333333334,12.469999999999999,11.274999999999999
Plumas,"$1,044.07 ",43.0,0.0,236.0,748.0,315.5080213903745,9.0,26.069518716577544,12.0,534.0,22.471910112359552,1.0,27.34082397003745,171,15.2,0.57,0.39,32.4421919543871,,,,50.8294625082946,,,,35.6900543858704,,,,,,,,,,21.91,19.79,20.51,17.53,10.416666666666666,7890.833333333333,21.21,18.66
Riverside,"$759,009.13 ",5662.0,0.0,24073.0,133445.0,180.39641799992503,364.0,75.85746936940313,1952.0,95543.0,20.43059146143621,79.0,76.14581915995939,33422,4.6,0.7,0.6,25.2354590971747,45.3220169745382,27.6123815577466,39.9717439025317,51.0396621966986,58.6630286493861,32.8020289533119,39.019437191761,38.7488951741206,25.4948563320326,64.968623108158,53.1278735206004,59.3632968848923,42.4646781789639,28.9969353212571,32.9106651893799,25.7918552036199,48.9530575284496,10.49,10.51,11.3,11.07,6.733333333333333,1033458.3333333334,10.895,10.79
Sacramento,"$662,075.55 ",6244.0,0.0,22825.0,81973.0,278.44534175887185,420.0,66.43650958242347,2849.0,59821.0,47.62541582387456,122.0,66.69731365239632,18859,8.7,0.79,0.62,28.1826150367189,36.3432237369687,37.8320338770796,50.2979773210278,51.2709146724951,46.5004133370074,41.0750065336702,44.8345849401258,37.7062683426546,45.7454262358895,38.1170018281536,66.1726534371599,58.5974619066438,70.005136106831,35.7842297939649,44.0090179696307,62.3672230652504,48.6279617569627,13.53,13.32,13.05,12.73,6.033333333333334,684583.3333333334,13.29,13.025
San Benito,"$17,959.05 ",112.0,0.0,859.0,3417.0,251.3901082821188,20.0,77.69973661106232,29.0,2348.0,12.350936967632029,3.0,78.87563884156728,866,5.7,0.6,0.49,18.9898217613609,,22.0125786163522,,39.4743187846636,,25.3306205493388,,31.015556720853,,,,,,,,,,,,10.34,11.24,7.608333333333333,29750.0,10.34,11.24
San Bernardino,"$1,285,805.76 ",8998.0,0.0,22914.0,128387.0,178.47601392664373,395.0,79.42237142389804,1901.0,94281.0,20.163129368589644,84.0,79.11456178869548,31841,9.5,0.65,0.5,30.1587725821336,49.4194484760523,27.6216784666884,48.7001023541453,51.3601681860195,47.6808611682761,37.7423885465748,43.2403718459495,42.648151440484,30.1276161306789,44.1230769230769,62.6599876423338,62.3560980308514,48.7423521414004,37.4402306191849,40.4064779064779,38.8223552894212,54.8948781266041,9.711,10.14,10.33,10.73,6.491666666666666,919316.6666666666,10.0205,10.435
San Diego,"$989,643.24 ",7066.0,0.0,53599.0,161978.0,330.9029621306598,859.0,66.88871328205065,4549.0,122267.0,37.20546018140626,198.0,66.73182461334619,40773,8.3,0.71,0.54,22.7635001377184,35.474784189005,23.6748327133394,40.6372395561585,49.3721368903261,34.0261328035455,27.8444750374539,30.7137573964497,32.7457692042162,26.4463172039085,46.3467829880044,54.2758683232067,58.5800450112528,50.9861212563915,24.2085538100859,26.2107669923093,38.9083275017495,41.8686829104639,12.85,12.54,12.58,12.24,5.241666666666666,1548791.6666666667,12.715,12.39
San Francisco,"$389,019.51 ",3291.0,0.0,14329.0,26130.0,548.3735170302334,278.0,68.60696517412936,1316.0,22409.0,58.726404569592574,51.0,63.57713418715695,5983,31.4,0.38,0.24,17.6078156647448,44.4367176634214,30.8780793693452,49.7897373440265,38.0887829228034,53.3170284316723,23.4807956104252,41.2005108556833,27.3924231870598,29.7264577868734,60.0,65.2816386247257,43.9315333055629,97.289156626506,8.89355322338831,13.2952045754509,48.3682008368201,28.0363718868353,8.063,7.299,11.82,10.32,3.6750000000000003,541416.6666666666,9.941500000000001,8.8095
San Joaquin,"$275,769.30 ",4005.0,0.0,10092.0,44461.0,226.9854479206496,218.0,79.28746541913138,828.0,31806.0,26.03282399547256,37.0,79.6579261774508,12031,9.1,0.69,0.46,25.901989292948,41.0267857142857,42.3482232593315,50.2023228854524,53.8869807321842,29.3392070484581,38.8405314230977,42.1215242018538,41.6889574809316,51.3707280832095,36.741214057508,65.4581673306773,61.628152267715,42.8844317096466,30.6384145923335,46.385600154009,8.33333333333333,52.7017677552617,10.74,11.16,9.971,10.21,8.941666666666666,314383.3333333333,10.3555,10.685
San Luis Obispo,"$65,447.47 ",308.0,0.0,3512.0,10991.0,319.5341643162588,89.0,46.2014375398053,205.0,7845.0,26.131293817718284,9.0,46.69216061185469,2926,4.3,0.89,0.69,26.0906354242942,36.751269035533,32.5081120057685,47.6162620649313,49.2630365687541,,30.6530214424951,,31.831225503906,27.0671834625323,65.3179190751445,58.1818181818182,55.7815902692941,,25.7731958762887,24.9197860962567,,37.2882354095915,17.76,16.04,19.24,16.44,4.7749999999999995,138925.0,18.5,16.240000000000002
San Mateo,"$209,533.35 ",2378.0,0.0,14799.0,37173.0,398.1115325639576,260.0,68.53361310628681,1171.0,27690.0,42.28963524738175,39.0,70.27807872878296,7133,6.8,0.54,0.31,12.0748664160558,39.4581861012956,14.431107943621,38.7443089202406,39.8686689158268,36.8353682552186,13.1513065248005,34.0190476190476,20.8467205160061,12.9454707570565,51.9823788546256,47.3594548551959,49.3806143146914,55.4283604135894,10.1991539338214,11.4033064206075,29.0066225165563,25.785826810417,7.704,7.099,7.714,7.303,3.4499999999999997,434225.0,7.709,7.2010000000000005
Santa Barbara,"$146,329.56 ",702.0,0.0,6425.0,22120.0,290.46112115732376,149.0,73.26853526220611,446.0,16335.0,27.303336394245484,19.0,74.55157636975822,5221,9.4,0.74,0.44,22.5363597201994,49.7055359246172,31.4362272240086,38.9485145434749,54.0097997649344,30.5243445692884,29.9412694827197,,37.512504008462,37.2283576772355,33.8461538461538,44.8040885860307,63.4669501594647,43.0232558139535,20.9444978198212,23.0684931506849,,49.2938238654171,11.41,11.08,13.31,12.79,5.333333333333333,217158.33333333334,12.36,11.934999999999999
Santa Clara,"$707,896.94 ",3684.0,0.0,41281.0,100993.0,408.7511015614944,602.0,78.01035715346607,3808.0,73761.0,51.62619812638116,130.0,79.37392388931822,21276,9.0,0.59,0.47,13.4668948567999,27.0481927710843,17.4081883336074,31.6745326670368,40.789957885268,32.2816718165555,16.6436535607028,19.550820616182,22.6856010891097,14.6363451304272,18.7341772151899,34.3425877422734,47.9638182480213,42.0765027322404,9.84018514287984,12.0662197696382,16.5322580645161,25.8770244114621,8.04,7.737,7.52,7.203,4.191666666666666,1012208.3333333334,7.779999999999999,7.470000000000001
Santa Cruz,"$156,590.60 ",790.0,0.0,3544.0,12167.0,291.27969096737075,97.0,62.13528396482289,384.0,8907.0,43.11215897608624,23.0,62.72594588525877,3235,12.3,0.57,0.34,21.5639779467482,,32.1448222735776,34.2597029228558,51.1858078756428,,28.7846481876333,,32.0439468678965,23.286467486819,100.0,41.1214953271028,60.7334652345958,89.8305084745763,19.6984924623116,17.8571428571429,9.64912280701754,41.3738223726333,14.82,14.59,16.4,15.74,7.533333333333332,143191.66666666666,15.61,15.165
Shasta,"$70,095.63 ",1340.0,0.0,2719.0,8315.0,326.9993986770896,70.0,29.368610944076952,235.0,6102.0,38.51196329072436,12.0,29.40019665683383,2211,8.7,0.75,0.41,38.1970538820298,42.4049017104927,44.3914081145585,62.7376425855513,56.30357254583,,49.4236538765198,,40.68553212971,27.8019113814075,53.5557506584723,84.7589424572317,64.5521746604779,,49.660432177229,54.81220657277,,52.2772328209881,24.07,21.94,25.22,23.37,7.824999999999999,74108.33333333333,24.645,22.655
Sierra,$507.09 ,,1.0,30.0,108.0,277.7777777777778,1.0,19.444444444444443,,92.0,,,27.17391304347826,23,0.0,0,0.17,29.9733739064283,,,,,,,,30.625208960214,,,,,,,,,,,,,,8.799999999999999,1362.5,,
Siskiyou,"$1,578.46 ",165.0,0.0,663.0,2004.0,330.83832335329345,22.0,34.7804391217565,56.0,1478.0,37.889039242219205,4.0,37.07713125845737,470,6.8,0.66,0.43,42.2350764894148,79.3478260869565,46.4831804281346,58.3333333333333,67.1116504854369,,49.7393117831074,,46.8796724403653,,,,,,,,,,25.37,23.92,24.02,19.91,9.433333333333335,17882.5,24.695,21.915
Solano,"$272,060.71 ",2642.0,0.0,4135.0,21735.0,190.246146767886,93.0,72.85024154589374,399.0,15978.0,24.97183627487797,15.0,73.31330579546876,4880,12.3,0.76,0.6,20.3094369213138,44.7236180904523,20.3599967713294,41.6098735926209,42.5929803190072,29.2326067482831,33.0097515774611,21.3953488372093,29.5545094104822,24.6846379816831,100.0,53.412318428954,50.5942969303746,43.0272108843537,28.1772668273688,33.3530106257379,63.9024390243902,40.0291725332496,11.79,11.17,11.36,11.05,6.166666666666667,204866.66666666666,11.575,11.11
Sonoma,"$170,796.00 ",1952.0,0.0,6139.0,23097.0,265.79209421136954,145.0,56.43590076633328,286.0,16540.0,17.29141475211609,17.0,57.79322853688028,5363,11.8,0.72,0.61,21.1493272692818,43.6480849450133,25.5906144533133,33.3436008008625,48.9724831788752,31.6810344827586,30.1919145287872,53.505092869982,29.1992805004574,36.9505494505495,73.1132075471698,39.8981324278438,54.1816854496509,64.5348837209302,20.88957781653,31.0683951721055,44.888023369036,36.9653480288588,13.22,11.79,13.55,12.19,4.508333333333334,257658.33333333334,13.385000000000002,11.989999999999998
Stanislaus,"$345,628.18 ",2536.0,0.0,6347.0,32313.0,196.4224924952805,128.0,69.58809148020921,513.0,23638.0,21.702343683898803,30.0,69.78593789660718,8504,9.5,0.69,0.58,31.8941504178273,59.504132231405,35.6600414229134,47.569803516029,57.0552254686043,63.4344528710726,38.8156898379524,20.4741379310345,44.0032445990466,42.9073140937548,68.2487725040916,53.9975772259237,64.5480730319693,56.9047619047619,39.2453167613001,53.1517806132165,,54.9793656570373,10.3,10.54,10.09,10.16,9.55,240991.66666666666,10.195,10.35
Sutter,"$70,620.30 ",469.0,0.0,1428.0,5895.0,242.23918575063607,33.0,63.935538592027136,119.0,4202.0,28.319847691575436,7.0,65.23084245597335,1873,10.0,0.71,0.59,29.7631081615611,34.7957639939486,51.4030795797957,39.1990975747321,62.9853630605161,,41.1870043489384,,43.5211357405479,,,,,,,,,,16.57,16.17,14.25,13.87,10.758333333333333,44725.0,15.41,15.02
Tehama,"$6,886.41 ",224.0,0.0,765.0,3539.0,216.16275784119804,25.0,44.22153150607515,74.0,2587.0,28.604561267877852,4.0,45.72864321608039,705,4.7,0.72,0.5,41.2678908685462,44.4852941176471,65.9438775510204,,57.5493852742091,,62.1621621621622,,46.0405895764426,,,,,,,,,,17.77,15.42,17.67,19.22,7.949999999999999,25022.5,17.72,17.32
Trinity,,73.0,0.0,109.0,535.0,203.73831775700927,5.0,27.663551401869157,,335.0,,,25.671641791044767,145,15.2,0.48,0.1,44.3302718923343,,,,30.5921052631579,,,,44.0106544901065,,,,,,,,,,,,39.51,43.87,7.858333333333334,5141.666666666667,39.51,43.87
Tulare,"$53,036.76 ",585.0,0.0,5719.0,33044.0,173.07226727999037,117.0,81.99975789855951,133.0,24589.0,5.408922689007281,5.0,82.99239497336207,7540,7.4,0.64,0.44,32.0004069264698,60.1022146507666,45.1653064047586,59.50643030935,67.6390754021543,,43.6928995031255,,55.4200778029379,49.9105545617174,64.5054945054945,78.9287816362566,74.814479387112,96.5034965034965,38.6758415473312,48.7090558766859,24.124513618677,66.9341626634826,9.577,10.26,10.54,11.16,11.700000000000001,202125.0,10.058499999999999,10.71
Tuolumne,"$2,754.90 ",81.0,0.0,652.0,1956.0,333.33333333333326,18.0,25.76687116564417,37.0,1345.0,27.509293680297404,3.0,25.35315985130112,521,7.5,0.73,0.4,30.6594741020971,53.6856745479833,53.3751962323391,51.864406779661,43.6654878302476,,44.0917107583774,,32.9414326148487,,,,,,,,,,15.79,14.2,25.77,18.87,7.075,21533.333333333332,20.78,16.535
Ventura,"$195,961.16 ",1913.0,0.0,13616.0,45414.0,299.819438939534,217.0,68.9148720658828,1040.0,32452.0,32.0473314433625,35.0,70.5657586589424,10829,6.0,0.69,0.51,15.5021973774805,35.4119253527538,16.2731609513274,30.4755266418835,44.9193674651636,15.6433978132885,20.9068010075567,21.1048158640227,28.1986832211918,20.8806684818327,56.6037735849057,35.1551644279759,53.5753989443185,85.5670103092783,15.4003860946081,16.5512693702605,8.04878048780488,37.444534333554,11.55,11.18,11.23,10.53,5.675,427233.3333333333,11.39,10.855
Yolo,"$45,289.57 ",671.0,0.0,3411.0,10130.0,336.7226061204343,73.0,64.26456071076011,302.0,7372.0,40.96581660336408,19.0,65.50461204557784,2342,6.7,0.74,0.46,30.1541465419792,,50.2901505646173,56.0235294117647,48.4066091496609,42.7795874049946,41.1893669498493,,39.5880880604726,36.3891726251277,,72.1476510067114,53.1585047812228,31.2849162011173,24.452707970971,26.2369791666667,28.5714285714286,39.5898291686795,8.18,8.515,12.16,12.47,6.491666666666667,104158.33333333333,10.17,10.4925
Yuba,"$7,417.30 ",252.0,0.0,964.0,4949.0,194.78682562133764,20.0,55.02121640735504,43.0,3736.0,11.509635974304064,3.0,55.139186295503215,987,17.0,0.72,0.49,38.773773043436,39.3243243243243,45.2474469756481,47.0142602495544,61.9146076708364,,48.9274447949527,,45.9651646998603,,,,,,,,,,15.24,15.37,17.93,18.75,9.358333333333334,27733.333333333332,16.585,17.06
